Country/Region,Confirmed,Deaths,Recovered,Active
Afghanistan,40.0,1.0,1.0,38.0
Albania,89.0,2.0,2.0,85.0
Algeria,201.0,17.0,65.0,119.0
Andorra,113.0,1.0,1.0,111.0
Angola,2.0,0.0,0.0,2.0
Antigua and Barbuda,1.0,0.0,0.0,1.0
Argentina,225.0,4.0,3.0,218.0
Armenia,194.0,0.0,2.0,192.0
Australia,1314.0,7.0,88.0,1219.0
Austria,3244.0,16.0,9.0,3219.0
Azerbaijan,65.0,1.0,10.0,54.0
"Bahamas, The",4.0,0.0,0.0,4.0
Bahrain,332.0,2.0,149.0,181.0
Bangladesh,27.0,2.0,3.0,22.0
Barbados,14.0,0.0,0.0,14.0
Belarus,76.0,0.0,15.0,61.0
Belgium,3401.0,75.0,263.0,3063.0
Benin,2.0,0.0,0.0,2.0
Bhutan,2.0,0.0,0.0,2.0
Bolivia,24.0,0.0,0.0,24.0
Bosnia and Herzegovina,126.0,1.0,2.0,123.0
Brazil,1593.0,25.0,2.0,1566.0
Brunei,88.0,0.0,2.0,86.0
Bulgaria,187.0,3.0,3.0,181.0
Burkina Faso,75.0,4.0,5.0,66.0
Cabo Verde,3.0,0.0,0.0,3.0
Cambodia,84.0,0.0,1.0,83.0
Cameroon,40.0,0.0,0.0,40.0
Canada,1470.0,21.0,10.0,1439.0
Cape Verde,0.0,0.0,0.0,0.0
Central African Republic,3.0,0.0,0.0,3.0
Chad,1.0,0.0,0.0,1.0
Chile,632.0,1.0,8.0,623.0
China,81439.0,3274.0,72814.0,5351.0
Colombia,231.0,2.0,3.0,226.0
Congo (Brazzaville),3.0,0.0,0.0,3.0
Congo (Kinshasa),30.0,1.0,0.0,29.0
Costa Rica,134.0,2.0,2.0,130.0
Cote d'Ivoire,14.0,0.0,1.0,13.0
Croatia,254.0,1.0,5.0,248.0
Cruise Ship,712.0,8.0,325.0,379.0
Cuba,35.0,1.0,0.0,34.0
Cyprus,95.0,1.0,3.0,91.0
Czechia,1120.0,1.0,6.0,1113.0
Denmark,1514.0,13.0,1.0,1500.0
Djibouti,1.0,0.0,0.0,1.0
Dominica,1.0,0.0,0.0,1.0
Dominican Republic,202.0,3.0,0.0,199.0
East Timor,0.0,0.0,0.0,0.0
Ecuador,789.0,14.0,3.0,772.0
Egypt,327.0,14.0,56.0,257.0
El Salvador,3.0,0.0,0.0,3.0
Equatorial Guinea,6.0,0.0,0.0,6.0
Eritrea,1.0,0.0,0.0,1.0
Estonia,326.0,0.0,2.0,324.0
Eswatini,4.0,0.0,0.0,4.0
Ethiopia,11.0,0.0,4.0,7.0
Fiji,2.0,0.0,0.0,2.0
Finland,626.0,1.0,10.0,615.0
France,16044.0,674.0,2200.0,13170.0
French Guiana,18.0,0.0,6.0,12.0
Gabon,5.0,1.0,0.0,4.0
"Gambia, The",1.0,0.0,0.0,1.0
Georgia,54.0,0.0,3.0,51.0
Germany,24873.0,94.0,266.0,24513.0
Ghana,24.0,1.0,0.0,23.0
Greece,624.0,15.0,19.0,590.0
Greenland,0.0,0.0,0.0,0.0
Grenada,1.0,0.0,0.0,1.0
Guadeloupe,56.0,0.0,0.0,56.0
Guam,0.0,1.0,0.0,-1.0
Guatemala,19.0,1.0,0.0,18.0
Guernsey,0.0,0.0,0.0,0.0
Guinea,2.0,0.0,0.0,2.0
Guyana,7.0,1.0,0.0,6.0
Haiti,2.0,0.0,0.0,2.0
Holy See,1.0,0.0,0.0,1.0
Honduras,26.0,0.0,0.0,26.0
Hungary,131.0,6.0,16.0,109.0
Iceland,568.0,1.0,36.0,531.0
India,396.0,7.0,27.0,362.0
Indonesia,514.0,48.0,29.0,437.0
Iran,21638.0,1685.0,7931.0,12022.0
Iraq,233.0,20.0,57.0,156.0
Ireland,906.0,4.0,5.0,897.0
Israel,1071.0,1.0,37.0,1033.0
Italy,59138.0,5476.0,7024.0,46638.0
Jamaica,16.0,1.0,2.0,13.0
